question,answer
How do I reset my password?,"Visit the IT portal and select Forgot Password. Follow the prompts to verify your identity and create a new password."
Where is the registrar office?,"The registrar office is located in Building A room 210. Check the student portal for current service hours."
How do I pay tuition?,"Tuition can be paid online through the finance portal using the payment section of your student account."
How do I contact technical support?,"You can contact technical support by emailing support@university.edu or by opening a ticket through the IT portal."
What are the library hours?,"The library is open from 8 AM to 10 PM on regular weekdays. Holiday hours may be different."
How do I register for courses?,"Log into the student portal and open the course registration page. Select your term and add your courses."
How can I apply for scholarships?,"Visit the scholarships section on the university website and review eligibility requirements before submitting your application."
Where can I get my student ID card?,"Student ID cards are issued at the campus card office. Bring a government ID and your student number."
How do I book an appointment with an academic advisor?,"Use the advising booking page in the student portal to choose your program, advisor, date, and time."
What should I do if I cannot access my account?,"Try resetting your password through the IT portal. If the issue continues, contact technical support for account recovery."
How do I drop a course?,"Open the student portal, go to course registration, select the course, and choose the drop option before the deadline."
Where can I find exam schedules?,"Exam schedules are posted in the student portal under the exams section once they are released."
